"sku";"gu_vpe";"ean";"STATUS"
"65064";"1.00";"8391135650645";"1"
"65065";"1.00";"8391135650652";"1"
"65066";"1.00";"8000353005709";"1"
"65067";"1.00";"8000353005679";"1"
"65068";"1.00";"8002270027970";"1"
"65069";"1.00";"8391135650690";"1"
"65070";"1.00";"8003232014700";"1"
"65071";"1.00";"8012386600134";"1"
"65072";"1.00";"8012386600127";"1"
"65073";"1.00";"8033874029336";"1"
"65074";"1.00";"8033874021170";"1"
"65075";"1.00";"8004499072014";"1"
"65076";"1.00";"8004499211703";"1"
"65077";"1.00";"8002270286476";"1"
"65078";"1.00";"8391135650782";"1"
"65079";"1.00";"8032841707000";"1"
"65080";"1.00";"8032841700025";"1"
"65081";"1.00";"8001780155005";"1"
"65082";"1.00";"8391135650829";"1"
"65083";"1.00";"8391135650836";"1"
"65084";"1.00";"8002270726521";"1"
"65084";"2.00";"8002270726507";"0"
"65085";"1.00";"8000040011488";"1"
"65086";"1.00";"8000020006664";"1"
"65087";"1.00";"8030853089992";"1"
"65088";"1.00";"8006890758467";"1"
"65089";"1.00";"8001440115363";"1"
"65090";"1.00";"8000843000290";"1"
"65091";"1.00";"8391135650911";"1"
"65092";"1.00";"8391135650928";"1"
"65093";"1.00";"4052667095604";"1"
"65094";"1.00";"8391135650942";"1"
"65095";"1.00";"8391135650959";"1"
"65096";"1.00";"8391135650966";"1"
"65096";"1.00";"8032919465115";"0"
"65096";"1.00";"0719276621276";"0"
"65097";"1.00";"8391135650973";"1"
"65097";"1.00";"8032919465016";"0"
"65097";"1.00";"0719276521279";"0"
"65098";"1.00";"8032919465047";"1"
"65098";"1.00";"0719276421272";"0"
"65099";"1.00";"8391135650997";"1"
"65100";"1.00";"8391135651000";"1"
